time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-01T03:29:49.469Z,-13.1729,166.6639,50.67,5.4,mww,,41,2.32,1.34,us,us7000degw,2021-03-01T17:04:05.298Z,"123 km NW of Sola, Vanuatu",earthquake,7.6,4.9,0.086,13,reviewed,us,us
2021-03-01T02:37:35.260Z,44.3616667,-115.2043333,11.46,3.1,ml,11,74,0.227,0.21,mb,mb80489709,2021-03-01T16:49:31.320Z,"26 km NW of Stanley, Idaho",earthquake,0.43,0.73,0.215,22,reviewed,mb,mb
2021-03-01T01:40:51.934Z,-17.7372,-72.6412,10,4.4,mb,,148,2.276,0.82,us,us7000degb,2021-03-01T16:07:35.135Z,"100 km SW of Islay (Matarani), Peru",earthquake,8.7,2,0.22,6,reviewed,us,us
2021-03-01T01:34:46.164Z,-45.9745,-72.7343,9.6,4.8,mb,,121,0.601,0.82,us,us7000deg8,2021-03-01T14:54:17.641Z,"56 km S of Puerto Chacabuco, Chile",earthquake,3.4,4.7,0.064,75,reviewed,us,us
2021-03-01T01:31:41.998Z,64.1319,-22.1739,10,4.8,mb,,87,0.719,0.7,us,us7000deg9,2021-03-01T08:10:00.220Z,"8 km WNW of Álftanes, Iceland",earthquake,4.2,1.9,0.044,157,reviewed,us,us
2021-03-01T01:15:09.293Z,15.5335,-93.3614,87.42,4.4,mb,,171,1.393,0.68,us,us7000deg2,2021-03-01T01:23:51.040Z,"16 km WNW of El Palmarcito, Mexico",earthquake,8.3,12.5,0.044,150,reviewed,us,us
2021-03-01T00:42:54.240Z,18.067,-67.5198,20,2.71,md,14,267,0.32,0.54,pr,pr2021060001,2021-03-01T01:40:50.936Z,"35 km W of Puerto Real, Puerto Rico",earthquake,2.31,32.45,0.1,8,reviewed,pr,pr
2021-02-28T23:37:15.432Z,-17.7192,167.4835,10,5.8,mww,,31,2.275,1.23,us,us7000defm,2021-03-01T16:35:01.316Z,"88 km W of Port-Vila, Vanuatu",earthquake,6.7,1.7,0.093,11,reviewed,us,us
2021-02-28T23:32:57.854Z,38.1694,-117.8986,11.6,2.8,ml,29,48.46,0.023,0.1796,nn,nn00801482,2021-03-01T17:27:24.722Z,"30 km SE of Mina, Nevada",earthquake,,0.5,0.25,13,reviewed,nn,nn
2021-02-28T22:51:23.183Z,6.651,124.9865,11.68,4.5,mb,,88,0.72,0.45,us,us7000defc,2021-03-01T04:12:29.040Z,"2 km NNE of Telafas, Philippines",earthquake,6.3,2.8,0.135,16,reviewed,us,us
2021-02-28T22:00:42.397Z,31.68844842,-104.3008053,6.568603516,3.2,ml,22,50,0.08579881403,0.3,tx,tx2021edqt,2021-03-01T16:12:01.043Z,"54 km S of Whites City, New Mexico",earthquake,1.09425564,1.415429221,0.2,12,reviewed,tx,tx
2021-02-28T21:38:38.590Z,36.36316667,-98.15533333,7.22,3.68,ml,81,38,0,0.15,ok,ok2021edqa,2021-03-01T14:52:35.921Z,"3 km SE of Meno, Oklahoma",earthquake,,0.3,0.24,37,reviewed,ok,ok
2021-02-28T21:23:50.373Z,-22.8725,172.3562,10,4.8,mb,,87,4.539,0.77,us,us7000deen,2021-03-01T04:16:07.040Z,"southeast of the Loyalty Islands",earthquake,8.9,1.9,0.09,38,reviewed,us,us
2021-02-28T20:56:23.236Z,32.054,-102.2388,4.25,2.8,mb_lg,,45,0.271,0.48,us,us7000deej,2021-03-01T05:14:47.537Z,"13 km ENE of Gardendale, Texas",earthquake,1.2,5.8,0.114,61,reviewed,us,us
2021-02-28T20:53:36.570Z,19.3095,-155.2095,1.48,2.75,ml,51,131,,0.14,hv,hv72367117,2021-02-28T22:51:08.505Z,"14 km S of Volcano, Hawaii",earthquake,0.25,0.39,0.174043082815007,32,reviewed,hv,hv
2021-02-28T20:37:38.339Z,-22.7152,172.4055,10,5.7,mww,,53,4.581,1.34,us,us7000deeg,2021-03-01T16:28:25.091Z,"southeast of the Loyalty Islands",earthquake,10.5,1.8,0.05,38,reviewed,us,us
2021-02-28T20:12:49.260Z,34.3258324,-116.9248352,3.38,2.96,ml,112,39,0.06347,0.18,ci,ci39805008,2021-03-01T17:37:48.171Z,"9km N of Big Bear Lake, CA",earthquake,0.17,0.65,0.252,20,automatic,ci,ci
2021-02-28T19:56:47.259Z,21.1498,121.993,161.26,4.1,mb,,133,1.863,0.88,us,us7000deea,2021-02-28T20:41:37.040Z,"77 km N of Basco, Philippines",earthquake,12.6,8.4,0.151,12,reviewed,us,us
2021-02-28T19:21:48.224Z,-22.1265,-63.7713,530.47,4.5,mb,,55,4.156,0.64,us,us7000dee2,2021-02-28T20:29:11.635Z,"15 km SW of Yacuiba, Bolivia",earthquake,11.4,10,0.061,79,reviewed,us,us
2021-02-28T19:01:37.693Z,63.9956,-22.0617,10,4.6,mb,,126,0.819,1.31,us,us7000dee1,2021-03-01T12:39:58.819Z,"10 km SW of Hafnarfjörður, Iceland",earthquake,7.2,1.9,0.072,57,reviewed,us,us
2021-02-28T17:54:36.544Z,61.7074,-146.6789,12.7,3.8,ml,,,,0.92,ak,ak0212pv5hua,2021-02-28T23:40:55.615Z,"32 km S of Nelchina, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2021-02-28T17:46:27.026Z,-4.445,144.091,103.9,4.3,mb,,110,4.047,0.86,us,us7000dedw,2021-02-28T20:44:40.040Z,"42 km S of Angoram, Papua New Guinea",earthquake,8.2,12.5,0.133,16,reviewed,us,us
